Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Baudry, J., Allès, B., Péneau, S., Touvier, M., Méjean, C., Hercberg, S., Galan, P., Lairon, D., Kesse-Guyot, E.","56898718200; 56878750100; 35238217100; 8877033300; 56250059700; 56386887800; 36484310400; 56246162400; 35573782000","Dietary intakes and diet quality according to levels of organic food consumption by French adults: Cross-sectional findings from the NutriNet-Santé Cohort Study",2017,"Public Health Nutrition",20,"4",,638,648,,13,10.1017/S1368980016002718,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84991205729&partnerID=40&md5=99588072133db66c6f7594dba072a796",Article,Final,,Scopus,2-s2.0-84991205729
"Sanvicente-Vieira, B., Kluwe-Schiavon, B., Corcoran, R., Grassi-Oliveira, R.","54881972200; 55444344900; 7006177424; 13103077200","Theory of mind impairments in women with cocaine addiction",2017,"Journal of Studies on Alcohol and Drugs",78,"2",,258,267,,3,10.15288/jsad.2017.78.258,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85016178626&partnerID=40&md5=5d88f2fa1da2d056ba505bb74c00e087",Article,Final,,Scopus,2-s2.0-85016178626
"Vogel, A.P., Wardrop, M.I., Folker, J.E., Synofzik, M., Corben, L.A., Delatycki, M.B., Awan, S.N.","25227738500; 57191866855; 35388062200; 23391247900; 16063247200; 7005228584; 8359382100","Voice in Friedreich Ataxia",2017,"Journal of Voice",31,"2",,243.e9,243.e19,,4,10.1016/j.jvoice.2016.04.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994320679&partnerID=40&md5=ae74d541eafe30557e55b97a80b7fb59",Article,Final,,Scopus,2-s2.0-84994320679
"Højgaard, D.R.M.A., Mortensen, E.L., Ivarsson, T., Hybel, K., Skarphedinsson, G., Nissen, J.B., Valderhaug, R., Dahl, K., Weidle, B., Torp, N.C., Grados, M., Lewin, A.B., Melin, K.H., Storch, E.A., Wolters, L.H., Murphy, T.K., Sonuga-Barke, E.J.S., Thomsen, P.H.","56589902500; 7005077625; 6602161801; 55965436500; 36572411000; 35844094500; 6507885732; 7102650283; 6603138859; 36082112100; 6701431669; 7103243879; 22958200800; 7006688584; 23669769900; 57203366028; 7005682785; 7102982499","Structure and clinical correlates of obsessive–compulsive symptoms in a large sample of children and adolescents: a factor analytic study across five nations",2017,"European Child and Adolescent Psychiatry",26,"3",,281,291,,12,10.1007/s00787-016-0887-5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978148924&partnerID=40&md5=4846e51c5fbf9bd3b7c4abcbf414b7d9",Article,Final,,Scopus,2-s2.0-84978148924
"Mogard, E., Lindqvist, E., Bergman, S., Bremander, A.","57148416500; 7004343268; 9742225200; 6507704605","Spinal Mobility in Axial Spondyloarthritis: A Cross-Sectional Clinical Study",2017,"Musculoskeletal Care",15,"1",,36,48,,4,10.1002/msc.1138,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84959420464&partnerID=40&md5=d89d701c97fb3cc520e52456b3aa9b26",Article,Final,,Scopus,2-s2.0-84959420464
"Marshik, T., Ashton, P.T., Algina, J.","53873050300; 7102485835; 7003768166","Teachers’ and students’ needs for autonomy, competence, and relatedness as predictors of students’ achievement",2017,"Social Psychology of Education",20,"1",,39,67,,8,10.1007/s11218-016-9360-z,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85006401238&partnerID=40&md5=18f31b24e7cd112f8e3bccc44c56d74f",Article,Final,,Scopus,2-s2.0-85006401238
"Hallam, C., Zanella, G.","24922768000; 57078337800","Online self-disclosure: The privacy paradox explained as a temporally discounted balance between concerns and rewards",2017,"Computers in Human Behavior",68,"",,217,227,,24,10.1016/j.chb.2016.11.033,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84997169452&partnerID=40&md5=f36c6008bc495c1fc80c4102be5793ed",Article,Final,,Scopus,2-s2.0-84997169452
"Glavas, C., Mathews, S., Bianchi, C.","55274121500; 23501733200; 12141006800","International opportunity recognition as a critical component for leveraging Internet capabilities and international market performance | Reconocimiento de oportunidad internacional como un componente critico para apalancar capacidades de Internet en el desempeño de mercados internacionales",2017,"Journal of International Entrepreneurship",15,"1",,,,,6,10.1007/s10843-016-0191-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994404007&partnerID=40&md5=825cb5a6896a8fbdfbfc84687d189302",Article,Final,,Scopus,2-s2.0-84994404007
"Randau, M., Cuff, A.R., Hutchinson, J.R., Pierce, S.E., Goswami, A.","55818394600; 55984879200; 24738815600; 24729574100; 14068896700","Regional differentiation of felid vertebral column evolution: a study of 3D shape trajectories",2017,"Organisms Diversity and Evolution",17,"1",,305,319,,9,10.1007/s13127-016-0304-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992195244&partnerID=40&md5=828cc8b31b046c00344e6f45992df573",Article,Final,,Scopus,2-s2.0-84992195244
"Böhmer, C., Böhmer, E.","37076535400; 6603865691","Shape variation in the craniomandibular system and prevalence of dental problems in domestic rabbits: A case study in evolutionary veterinary science",2017,"Veterinary Sciences",4,"1", 5,,,,3,10.3390/vetsci4010005,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85045460386&partnerID=40&md5=b73a597a9c73f51443c2e38bc02b2c85",Article,Final,Open Access,Scopus,2-s2.0-85045460386
"Johnson, C., Burke, C., Brinkman, S., Wade, T.","55549852400; 55216927000; 6701835171; 57201705376","Development and validation of a multifactor mindfulness scale in youth: The comprehensive inventory of mindfulness experiences-adolescents (CHIME-A)",2017,"Psychological Assessment",29,"3",,264,281,,8,10.1037/pas0000342,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84971462315&partnerID=40&md5=0ae1c8b35b06e58a47179c7519402254",Article,Final,,Scopus,2-s2.0-84971462315
"Salas, C.A., Yopak, K.E., Lisney, T.J., Potter, I.C., Collin, S.P.","14919951000; 16240394100; 12789770300; 7102695010; 7102643146","The Central Nervous System of Jawless Vertebrates: Encephalization in Lampreys and Hagfishes",2017,"Brain, Behavior and Evolution",89,"1",,33,47,,,10.1159/000455183,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013669930&partnerID=40&md5=f6b1f6407175001cfe7968a7564e0a2d",Article,Final,,Scopus,2-s2.0-85013669930
"Pontecorvo, M.J., Devous, M.D., Navitsky, M., Lu, M., Salloway, S., Schaerf, F.W., Jennings, D., Arora, A.K., McGeehan, A., Lim, N.C., Xiong, H., Joshi, A.D., Siderowf, A., Mintun, M.A.","35325365200; 7005404349; 57189231972; 55259689600; 7003840992; 57205045624; 7103249820; 55110662600; 57194734408; 35213602200; 56768799600; 36140396600; 57205866737; 7006297455","Relationships between flortaucipir PET tau binding and amyloid burden, clinical diagnosis, age and cognition",2017,"Brain",140,"3",,748,763,,71,10.1093/brain/aww334,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013430405&partnerID=40&md5=ecc4f5498fed2cfe7598e302e13af3a7",Article,Final,Open Access,Scopus,2-s2.0-85013430405
"Purper-Ouakil, D., Porfirio, M.C., Le Strat, Y., Falissard, B., Gorwood, P., Masi, G.","8086485200; 6507113968; 6603160197; 7003400734; 7004491587; 7005105897","What do childhood attention deficit/hyperactivity symptoms in depressed adults tell us about the bipolar spectrum?",2017,"Psychiatry Research",249,"",,244,251,,3,10.1016/j.psychres.2016.12.055,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85010206566&partnerID=40&md5=f58285d2c7adf25171d35b2357f72f6c",Article,Final,,Scopus,2-s2.0-85010206566
"Taylor, C.T., Lyubomirsky, S., Stein, M.B.","55547110143; 7003922794; 7402996817","Upregulating the positive affect system in anxiety and depression: Outcomes of a positive activity intervention",2017,"Depression and Anxiety",34,"3",,267,280,,16,10.1002/da.22593,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85008462889&partnerID=40&md5=fa196c643fc27b1bcc148d5b30e0125e",Article,Final,,Scopus,2-s2.0-85008462889
"Lulic, T., El-Sayes, J., Fassett, H.J., Nelson, A.J.","56652550100; 57193027917; 57193554505; 7401443379","Physical activity levels determine exerciseinduced changes in brain excitability",2017,"PLoS ONE",12,"3", e0173672,,,,18,10.1371/journal.pone.0173672,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014836305&partnerID=40&md5=1c6697d283b7d34decd239b0fe99c24a",Article,Final,Open Access,Scopus,2-s2.0-85014836305
"Preiss, D., Dawed, A., Welsh, P., Heggie, A., Jones, A.G., Dekker, J., Koivula, R., Hansen, T.H., Stewart, C., Holman, R.R., Franks, P.W., Walker, M., Pearson, E.R., Sattar, N.","57204064910; 57188829536; 35308260700; 24469759200; 7407101887; 7202456967; 55619239400; 56090385500; 57192716939; 7202041849; 7101842109; 56391445300; 56899266200; 7007043802","Sustained influence of metformin therapy on circulating glucagon-like peptide-1 levels in individuals with and without type 2 diabetes",2017,"Diabetes, Obesity and Metabolism",19,"3",,356,363,,14,10.1111/dom.12826,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85007557014&partnerID=40&md5=c2afbcb2e67b9480800787e6abbd2f82",Article,Final,,Scopus,2-s2.0-85007557014
"Mühle, C., Kreczi, J., Rhein, C., Richter-Schmidinger, T., Alexopoulos, P., Doerfler, A., Lenz, B., Kornhuber, J.","7006133564; 57190014896; 36537762000; 25422933700; 14031252900; 24483215300; 7004037267; 7007179429","Additive sex-specific influence of common non-synonymous DISC1 variants on amygdala, basal ganglia, and white cortical surface area in healthy young adults",2017,"Brain Structure and Function",222,"2",,881,894,,3,10.1007/s00429-016-1253-6,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84976489508&partnerID=40&md5=c0499976efe33d4eac944fba631f4bfd",Article,Final,,Scopus,2-s2.0-84976489508
"Goebel, S., Weißenberger, B.E.","56667200800; 55908713200","The Relationship Between Informal Controls, Ethical Work Climates, and Organizational Performance",2017,"Journal of Business Ethics",141,"3",,505,528,,8,10.1007/s10551-015-2700-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84930323276&partnerID=40&md5=592ffd3dcecf97af24b90bcbbe25e7b5",Article,Final,,Scopus,2-s2.0-84930323276
"Lin, H.-Y., Tseng, W.-Y.I., Lai, M.-C., Chang, Y.-T., Gau, S.S.-F.","56488733300; 55644478000; 25225830600; 57191904525; 7004848762","Shared atypical brain anatomy and intrinsic functional architecture in male youth with autism spectrum disorder and their unaffected brothers",2017,"Psychological Medicine",47,"4",,639,654,,3,10.1017/S0033291716002695,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84994582939&partnerID=40&md5=93d64ef166f79410859652c371024d83",Article,Final,,Scopus,2-s2.0-84994582939
"Scheiber, C., Chen, H., Kaufman, A.S., Weiss, L.G.","56524309400; 24179286200; 7201910215; 7403207423","How Much Does WAIS-IV Perceptual Reasoning Decline Across the 20 to 90-Year Lifespan When Processing Speed is Controlled?",2017,"Applied Neuropsychology:Adult",24,"2",,116,131,,,10.1080/23279095.2015.1107564,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84963510468&partnerID=40&md5=16d5d5f05234d459569172e4198e57a0",Article,Final,,Scopus,2-s2.0-84963510468
"Ho, J.D., Dawes, D.M., McKay, E.M., Taliercio, J.J., White, S.D., Woodbury, B.J., Sandefur, M.A., Miner, J.R.","7402650106; 15924759100; 57191201215; 57191198362; 57013988300; 57191204684; 57191199557; 7102332706","Effect of Body-Worn Cameras on EMS Documentation Accuracy: A Pilot Study",2017,"Prehospital Emergency Care",21,"2",,263,271,,1,10.1080/10903127.2016.1218984,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84987881687&partnerID=40&md5=1ec12b59d5f306d0e1d84c5e0d016516",Article,Final,,Scopus,2-s2.0-84987881687
"Sugaya, N., Arai, M., Goto, F.","16242298000; 56808673500; 8921180700","The effect of vestibular rehabilitation on sleep disturbance in patients with chronic dizziness",2017,"Acta Oto-Laryngologica",137,"3",,275,278,,1,10.1080/00016489.2016.1244859,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84992080036&partnerID=40&md5=871d76d59f2e7bfe5aa77fc1d1c90ccb",Article,Final,,Scopus,2-s2.0-84992080036
"Harmon-Kizer, T.R.","55918904900","The effects of schema congruity on consumer response to celebrity advertising",2017,"Journal of Marketing Communications",23,"2",,162,175,,,10.1080/13527266.2014.975831,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84910124711&partnerID=40&md5=35a240f37d0aa977fc28c70625b48508",Article,Final,,Scopus,2-s2.0-84910124711
"Chun, M.H., Chang, M.C., Lee, S.-J.","8289985500; 23767019400; 37056881200","The effects of forest therapy on depression and anxiety in patients with chronic stroke",2017,"International Journal of Neuroscience",127,"3",,199,203,,19,10.3109/00207454.2016.1170015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962809815&partnerID=40&md5=f79a195e9fe7514eff60139b7d3346f8",Article,Final,,Scopus,2-s2.0-84962809815
"Wynveen, C.J., Sutton, S.G.","8651271400; 35276308500","Engaging Great Barrier Reef Stakeholders: Mediation Analyses of Barriers Among the Antecedents of Pro-Environmental Behavior",2017,"Human Dimensions of Wildlife",22,"2",,126,141,,3,10.1080/10871209.2016.1265185,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85006274991&partnerID=40&md5=1b3706a038d457190bc8307150284817",Article,Final,,Scopus,2-s2.0-85006274991
"Willen, E.J., Cuadra, A., Arheart, K.L., Post, M.J.D., Govind, V.","15049036700; 6602171868; 7003660038; 7201351759; 7006413178","Young adults perinatally infected with HIV perform more poorly on measures of executive functioning and motor speed than ethnically matched healthy controls",2017,"AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV",29,"3",,387,393,,1,10.1080/09540121.2016.1234677,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84989914916&partnerID=40&md5=df02ee2498ce423a238397b7d838ca45",Article,Final,,Scopus,2-s2.0-84989914916
"Bruintjes, M.H.D., Braat, A.E., Dahan, A., Scheffer, G.-J., Hilbrands, L.B., d'Ancona, F.C.H., Donders, R.A.R.T., van Laarhoven, C.J.H.M., Warlé, M.C.","56037297100; 55914417300; 7005746760; 8070454300; 35602089900; 6701700995; 14618881100; 6603870994; 6602728089","Effectiveness of deep versus moderate muscle relaxation during laparoscopic donor nephrectomy in enhancing postoperative recovery: Study protocol for a randomized controlled study",2017,"Trials",18,"1", 99,,,,,10.1186/s13063-017-1785-y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014363718&partnerID=40&md5=aa759844aa4d6eb6f268498997fd2735",Article,Final,Open Access,Scopus,2-s2.0-85014363718
"Molenaar, P.C.M.","35330509800","Equivalent Dynamic Models",2017,"Multivariate Behavioral Research",52,"2",,242,258,,3,10.1080/00273171.2016.1277681,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013042307&partnerID=40&md5=c8650ff4aca9a221608072e160ab7843",Article,Final,,Scopus,2-s2.0-85013042307
"Tatum, A.K., Houston, E.","57188028800; 15829588700","Examining the interplay between depression, motivation, and antiretroviral therapy adherence: a social cognitive approach",2017,"AIDS Care - Psychological and Socio-Medical Aspects of AIDS/HIV",29,"3",,306,310,,6,10.1080/09540121.2016.1220481,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84981747751&partnerID=40&md5=e54d074ddc1ac814430f9af1a08fb2e2",Article,Final,,Scopus,2-s2.0-84981747751
"Otte, K.-P., Konradt, U., Garbers, Y., Schippers, M.C.","56921727700; 6602663853; 55881196000; 35618041100","Development and validation of the REMINT: a reflection measure for individuals and teams",2017,"European Journal of Work and Organizational Psychology",26,"2",,299,313,,8,10.1080/1359432X.2016.1261826,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85000502015&partnerID=40&md5=b4cfd34c3c96373b0facdad9101659b3",Article,Final,,Scopus,2-s2.0-85000502015
"Baudat, S., Zimmermann, G., Antonietti, J.-P., Van Petegem, S.","57190304905; 57204295550; 55204788300; 55212634900","The role of maternal communication style in adolescents’ motivation to change alcohol use: A vignette-based study",2017,"Drugs: Education, Prevention and Policy",24,"2",,152,162,,6,10.1080/09687637.2016.1192584,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978968104&partnerID=40&md5=13f19e587cc8826e796a295a1511fdb2",Article,Final,,Scopus,2-s2.0-84978968104
"Lin, S.-M.","7407607020","Identify predictors of university students’ continuance intention to use online carbon footprint calculator",2017,"Behaviour and Information Technology",36,"3",,294,311,,5,10.1080/0144929X.2016.1232751,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84988696998&partnerID=40&md5=10e44eda89d9f6ad558cf5771cc45ca3",Article,Final,,Scopus,2-s2.0-84988696998
"Pfeiffer, K., Hautzinger, M., Patak, M., Grünwald, J., Becker, C., Albrecht, D.","25926055800; 55865190800; 54416215100; 56002575300; 7402823061; 56927802000","Problem-solving in caregiver-counselling (PLiP Study): Study protocol of a cluster randomized pragmatic trial",2017,"BMC Geriatrics",17,"1", 64,,,,1,10.1186/s12877-017-0456-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014696246&partnerID=40&md5=df2b0f193d82c0b9e2218fb64cda57f5",Article,Final,Open Access,Scopus,2-s2.0-85014696246
"Tiwari, P., Bhat, A.K., Tikoria, J.","57195684909; 55747394000; 36099638600","Predictors of social entrepreneurial intention: an empirical study",2017,"South Asian Journal of Business Studies",6,"1",,53,79,,6,10.1108/SAJBS-04-2016-0032,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85031393213&partnerID=40&md5=c9a9a4ef88344ae3af671bfe3386ad91",Article,Final,,Scopus,2-s2.0-85031393213
"Höchsmann, C., Walz, S.P., Schäfer, J., Holopainen, J., Hanssen, H., Schmidt-Trucksäss, A.","56928465800; 22837240200; 9280009000; 24553631500; 24605274700; 57193000446","Mobile Exergaming for Health-Effects of a serious game application for smartphones on physical activity and exercise adherence in type 2 diabetes mellitus-study protocol for a randomized controlled trial",2017,"Trials",18,"1", 103,,,,11,10.1186/s13063-017-1853-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014562939&partnerID=40&md5=1c9c2820ebb5673ebf633b093639bcfd",Article,Final,Open Access,Scopus,2-s2.0-85014562939
"Li, S., Zhai, G., Zhou, S., Fan, C., Wu, Y., Ren, C.","55932605500; 8370239300; 57193546932; 55933063300; 55932876200; 55934214000","Insight into the earthquake risk information seeking behavior of the victims: Evidence from Songyuan, China",2017,"International Journal of Environmental Research and Public Health",14,"3", 267,,,,2,10.3390/ijerph14030267,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014737238&partnerID=40&md5=8df26df385dfe57c8b29e9ae9045897a",Article,Final,Open Access,Scopus,2-s2.0-85014737238
"Madhavan, B.L., Deneke, H., Witthuhn, J., MacKe, A.","11539061800; 23970271800; 57193520963; 7003922583","Multiresolution analysis of the spatiotemporal variability in global radiation observed by a dense network of 99 pyranometers",2017,"Atmospheric Chemistry and Physics",17,"5",,3317,3338,,7,10.5194/acp-17-3317-2017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015216738&partnerID=40&md5=0d3a4439db0238714b4e4fc412e6a052",Article,Final,Open Access,Scopus,2-s2.0-85015216738
"Drummond, C., Gilburt, H., Burns, T., Copello, A., Crawford, M., Day, E., Deluca, P., Godfrey, C., Parrott, S., Rose, A., Sinclair, J., Coulton, S.","7102876511; 16834276600; 7201807176; 55579197700; 57203219698; 57201510429; 8676467300; 35233598200; 8342965100; 11139990900; 7201944497; 54996566500","Assertive community treatment for people with alcohol dependence: A pilot randomized controlled trial",2017,"Alcohol and Alcoholism",52,"2", agw091,234,241,,6,10.1093/alcalc/agw091,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019729259&partnerID=40&md5=851f8a5ff1a939c39ced0f476f459f70",Article,Final,Open Access,Scopus,2-s2.0-85019729259
"Schultz, K., Seidl, H., Jelusic, D., Wagner, R., Wittmann, M., Faller, H., Nowak, D., Schuler, M.","56211747200; 36125355000; 57189374522; 57193554737; 7004969573; 55412462600; 7201764407; 24073547300","Effectiveness of pulmonary rehabilitation for patients with asthma: Study protocol of a randomized controlled trial (EPRA)",2017,"BMC Pulmonary Medicine",17,"1", 49,,,,7,10.1186/s12890-017-0389-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85014854113&partnerID=40&md5=1b9e40d303434720de9ad3b55c8c12e8",Article,Final,Open Access,Scopus,2-s2.0-85014854113
"Tang, X., Yu, J., Xiao, X., Qi, X., Yin, J.","55725164800; 55921164600; 35174094500; 57194212286; 22942529100","Quantitative estimation of regional brain gray nuclei iron content in idiopathic restless legs syndrome patients by phase values",2017,"Chinese Journal of Radiology (China)",51,"3",,161,165,,,10.3760/cma.j.issn.1005-1201.2017.03.001,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85019199927&partnerID=40&md5=71a4969b45ca5da32df79332b902c83f",Article,Final,,Scopus,2-s2.0-85019199927
"Westgate, P.M., Burchett, W.W.","36728644600; 56960437600","On the analysis of very small samples of Gaussian repeated measurements: an alternative approach",2017,"Statistics in Medicine",36,"6",,958,970,,2,10.1002/sim.7199,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85008490040&partnerID=40&md5=eb08c5a54a46435ea258a44931da3609",Article,Final,,Scopus,2-s2.0-85008490040
"Funk, M., Wimmer, R., Adamopoulos, S.","56072724700; 7005403402; 56232096200","Diatomaceous earth as an inorganic additive to reduce formaldehyde emissions from particleboards",2017,"Wood Material Science and Engineering",12,"2",,92,97,,3,10.1080/17480272.2015.1040066,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84932108839&partnerID=40&md5=292a46f0ea63ed73289ae56f129cce7b",Article,Final,,Scopus,2-s2.0-84932108839
"Kelly, S.A., Gomes, F.R., Kolb, E.M., Malisch, J.L., Garland, T.","11639978700; 7006477656; 14011842900; 8623270600; 7006148472","Effects of activity, genetic selection and their interaction on muscle metabolic capacities and organ masses in mice",2017,"Journal of Experimental Biology",220,"6",,1038,1047,,9,10.1242/jeb.148759,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015950861&partnerID=40&md5=85bc795c583773e2ce1660985bcad6af",Article,Final,Open Access,Scopus,2-s2.0-85015950861
"Bassi, M., Delle Fave, A., Cetin, I., Melchiorri, E., Pozzo, M., Vescovelli, F., Ruini, C.","7006419638; 6602362839; 7006082971; 57193349828; 26633373000; 50562020800; 6701801937","Psychological well-being and depression from pregnancy to postpartum among primiparous and multiparous women",2017,"Journal of Reproductive and Infant Psychology",35,"2",,183,195,,2,10.1080/02646838.2017.1290222,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85013176801&partnerID=40&md5=78104b0243cb89894b6b430cf1e02db3",Article,Final,,Scopus,2-s2.0-85013176801
"de la Torre-Luque, A., Caparros-Gonzalez, R.A., Bastard, T., Vico, F.J., Buela-Casal, G.","55675442300; 57126466600; 57126206000; 55939871400; 7004747822","Acute stress recovery through listening to Melomics relaxing music: A randomized controlled trial",2017,"Nordic Journal of Music Therapy",26,"2",,124,141,,5,10.1080/08098131.2015.1131186,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84958537513&partnerID=40&md5=51e844dc9956161249e32ba924535ade",Article,Final,,Scopus,2-s2.0-84958537513
"Villani, D., Caputo, M., Balzarotti, S., Riva, G.","12806098100; 56828905500; 15020236900; 56962750600","Enhancing self-efficacy through a blended training: A pilot study with basketball players",2017,"International Journal of Sport and Exercise Psychology",15,"2",,160,175,,4,10.1080/1612197X.2015.1079921,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84941241675&partnerID=40&md5=8a43d1044da9f9b283a274438e49ef7f",Article,Final,,Scopus,2-s2.0-84941241675
"Krekoukias, G., Gelalis, I.D., Xenakis, T., Gioftsos, G., Dimitriadis, Z., Sakellari, V.","25639986100; 6603170463; 35459849300; 16165924900; 48461115700; 16936897300","Spinal mobilization vs conventional physiotherapy in the management of chronic low back pain due to spinal disk degeneration: a randomized controlled trial",2017,"Journal of Manual and Manipulative Therapy",25,"2",,66,73,,3,10.1080/10669817.2016.1184435,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84978468476&partnerID=40&md5=b948fd9158e4fea98f7410d4f4c7cc53",Article,Final,,Scopus,2-s2.0-84978468476
"Pedron, I.T., Silva Dias, M.A.F., de Paula Dias, S., Carvalho, L.M.V., Freitas, E.D.","6507212284; 57201177267; 57190337677; 7101931045; 36720575300","Trends and variability in extremes of precipitation in Curitiba – Southern Brazil",2017,"International Journal of Climatology",37,"3",,1250,1264,,6,10.1002/joc.4773,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84979246811&partnerID=40&md5=4c56cbc07aac311b5a18cebb79b31a84",Article,Final,,Scopus,2-s2.0-84979246811
"Intarapak, S., Suwandechochai, R., Supapakorn, T.","57190374200; 6504603579; 56108769100","Comparison of the estimators of the intra-cluster correlation for the nested error regression model",2017,"Communications in Statistics: Simulation and Computation",46,"3",,2057,2070,,,10.1080/03610918.2015.1032420,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84996938092&partnerID=40&md5=bda99c4e84bd96afbae396f5846aa0db",Article,Final,,Scopus,2-s2.0-84996938092
"Hollins, T.J., Weber, N.","56461209000; 7102101674","Evidence of a metacognitive benefit to memory?",2017,"Memory",25,"3",,317,325,,1,10.1080/09658211.2016.1171363,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84962368302&partnerID=40&md5=8a197985ea351660ded13341c1781f6d",Article,Final,,Scopus,2-s2.0-84962368302
"Dasgupta, D., Ray, S.","55521658900; 35194643200","Is menopausal status related to women’s attitudes toward menopause and aging?",2017,"Women and Health",57,"3",,311,328,,1,10.1080/03630242.2016.1160965,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964061132&partnerID=40&md5=fdf31349a2a5d1bf7a9fa6fa16cb2c05",Article,Final,,Scopus,2-s2.0-84964061132
"Kurniawati, F., de Boer, A.A., Minnaert, A.E.M.G., Mangunsong, F.","57188325700; 36107009500; 6603852060; 57188306500","Evaluating the effect of a teacher training programme on the primary teachers’ attitudes, knowledge and teaching strategies regarding special educational needs",2017,"Educational Psychology",37,"3",,287,297,,3,10.1080/01443410.2016.1176125,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84965036788&partnerID=40&md5=60cd3460532d6c63172a603d652982a6",Article,Final,,Scopus,2-s2.0-84965036788
"Philby, M.F., Macey, P.M., Ma, R.A., Kumar, R., Gozal, D., Kheirandish-Gozal, L.","56815005300; 14834343100; 57193630310; 57092301200; 34975080100; 14060157400","Reduced regional grey matter volumes in pediatric obstructive sleep apnea",2017,"Scientific Reports",7,"", 44566,,,,14,10.1038/srep44566,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85015328699&partnerID=40&md5=004223ea2565516aa143079e7e058923",Article,Final,Open Access,Scopus,2-s2.0-85015328699
"Knaeps, S., Bourgois, J.G., Charlier, R., Mertens, E., Lefevre, J.","56971619700; 7006075759; 56354683700; 56354652300; 7201749780","Associations between physical activity and health-related fitness–volume versus pattern",2017,"Journal of Sports Sciences",35,"6",,539,546,,1,10.1080/02640414.2016.1178393,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84964670009&partnerID=40&md5=54c1215870f18e6a52e29145b0f47a30",Article,Final,,Scopus,2-s2.0-84964670009
"McCaskey, U., von Aster, M., O’Gorman Tuura, R., Kucian, K.","57190443176; 6701461995; 7003735078; 16241981900","Adolescents with developmental dyscalculia do not have a generalized magnitude deficit – Processing of discrete and continuous magnitudes",2017,"Frontiers in Human Neuroscience",11,"", 102,,,,5,10.3389/fnhum.2017.00102,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85018318599&partnerID=40&md5=5b2f17b7d165c958eada571bc232b78f",Article,Final,Open Access,Scopus,2-s2.0-85018318599
