Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Children with Enthesitis Have Worse Quality of Life, Function, and Pain, Irrespective of their Juvenile Arthritis Category.","/pubmed/30740939","Rumsey DG, Guzman J, Rosenberg AM, Huber AM, Scuccimarri R, Shiff NJ, Bruns A, Feldman BM, Eurich DT; Research in Arthritis in Canadian Children Emphasizing Outcomes Investigators..","Arthritis Care Res (Hoboken). 2019 Feb 11. doi: 10.1002/acr.23844. [Epub ahead of print]","Arthritis Care Res (Hoboken).  2019","PubMed","citation","PMID:30740939","pubmed","30740939","create date:2019/02/12 | first author:Rumsey DG",
"Muscular fitness and cardiorespiratory fitness are associated with health-related quality of life: Results from labmed physical activity study.","/pubmed/30740134","Evaristo S, Moreira C, Lopes L, Oliveira A, Abreu S, Agostinis-Sobrinho C, Oliveira-Santos J, Póvoas S, Santos R, Mota J.","J Exerc Sci Fit. 2019 Jan 20;17(2):55-61. doi: 10.1016/j.jesf.2019.01.002. Epub 2019 Jan 8. Review.","J Exerc Sci Fit.  2019","PubMed","citation","PMID:30740134 | PMCID:PMC6353732","pubmed","30740134","create date:2019/02/12 | first author:Evaristo S",
"Genetic contribution of catechol-O-methyltransferase in dorsolateral prefrontal cortex functional changes in the first episode schizophrenia.","/pubmed/30738913","Kang Y, Huang K, Lv Y, Zhang W, Cai S, Wang Y, Wang Q, Huang L, Wang J, Tian J.","Behav Brain Res. 2019 May 17;364:225-232. doi: 10.1016/j.bbr.2019.02.012. Epub 2019 Feb 8.","Behav Brain Res.  2019","PubMed","citation","PMID:30738913","pubmed","30738913","create date:2019/02/11 | first author:Kang Y",
"Weight loss in patients with type 2 diabetes receiving once-weekly dulaglutide plus insulin lispro or insulin glargine plus insulin lispro: A post-hoc analysis of the AWARD-4 study across baseline body mass index subgroups.","/pubmed/30737891","Fuechtenbusch M, Aberle J, Heitmann E, Nicolay C, Jung H.","Diabetes Obes Metab. 2019 Jun;21(6):1340-1348. doi: 10.1111/dom.13658. Epub 2019 Mar 15.","Diabetes Obes Metab.  2019","PubMed","citation","PMID:30737891","pubmed","30737891","create date:2019/02/10 | first author:Fuechtenbusch M",
"Evaluation and Lessons Learned From the Development and Implementation of an Online Prenatal Nutrition Training for EFNEP Paraprofessionals.","/pubmed/30737094","Chlipalski M, Baker S, Olson B, Auld G.","J Nutr Educ Behav. 2019 Jun;51(6):749-757. doi: 10.1016/j.jneb.2018.11.013. Epub 2019 Feb 6.","J Nutr Educ Behav.  2019","PubMed","citation","PMID:30737094","pubmed","30737094","create date:2019/02/10 | first author:Chlipalski M",
"Population/regional differences in efficacy of 3 drug categories (antidiabetic, respiratory and psychotropic agents) among East Asians: A retrospective study based on multiregional clinical trials.","/pubmed/30735569","Sai K, Yoshida A, Hanatani T, Imatoh T, Takeuchi M, Narukawa M, Watanabe H, Uyama Y, Saito Y.","Br J Clin Pharmacol. 2019 Jun;85(6):1270-1282. doi: 10.1111/bcp.13893. Epub 2019 Mar 28.","Br J Clin Pharmacol.  2019","PubMed","citation","PMID:30735569 | PMCID:PMC6533431","pubmed","30735569","create date:2019/02/09 | first author:Sai K",
"Primary biliary cholangitis patients exhibit MRI changes in structure and function of interoceptive brain regions.","/pubmed/30735529","Mosher V, Swain M, Pang J, Kaplan G, Sharkey K, MacQueen G, Goodyear BG.","PLoS One. 2019 Feb 8;14(2):e0211906. doi: 10.1371/journal.pone.0211906. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30735529 | PMCID:PMC6368379","pubmed","30735529","create date:2019/02/09 | first author:Mosher V",
"Evaluation of the reliability and validity of the Italian version of the schema mode inventory for eating disorders: short form for adults with dysfunctional eating behaviors.","/pubmed/30734224","Pietrabissa G, Rossi A, Simpson S, Tagliagambe A, Bertuzzi V, Volpi C, Fava G, Manzoni GM, Gravina G, Castelnuovo G.","Eat Weight Disord. 2019 Feb 7. doi: 10.1007/s40519-019-00644-5. [Epub ahead of print] Erratum in: Eat Weight Disord. 2019 Mar 9;:. ","Eat Weight Disord.  2019","PubMed","citation","PMID:30734224","pubmed","30734224","create date:2019/02/09 | first author:Pietrabissa G",
"Impact of consuming green and yellow vegetables on the depressive symptoms of junior and senior high school students in Japan.","/pubmed/30730901","Tanaka M, Hashimoto K.","PLoS One. 2019 Feb 7;14(2):e0211323. doi: 10.1371/journal.pone.0211323. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30730901 | PMCID:PMC6366731","pubmed","30730901","create date:2019/02/08 | first author:Tanaka M",
"Hypertension and Postoperative Pain: A Prospective Observational Study.","/pubmed/30728877","Chiang HL, Huang YC, Lin HS, Chan MH, Chia YY.","Pain Res Manag. 2019 Jan 9;2019:8946195. doi: 10.1155/2019/8946195. eCollection 2019.","Pain Res Manag.  2019","PubMed","citation","PMID:30728877 | PMCID:PMC6343159","pubmed","30728877","create date:2019/02/08 | first author:Chiang HL",
"Rapid Changes in Laboratory Parameters and Early Response to Adalimumab: A Pooled Analysis From Patients With Ulcerative Colitis in 2 Clinical Trials.","/pubmed/30726897","Hanauer S, Sandborn WJ, Colombel JF, Vermeire S, Petersson J, Kligys K, Zhou Q, Lazar A, Reinisch W.","J Crohns Colitis. 2019 Feb 6. doi: 10.1093/ecco-jcc/jjz031. [Epub ahead of print]","J Crohns Colitis.  2019","PubMed","citation","PMID:30726897","pubmed","30726897","create date:2019/02/07 | first author:Hanauer S",
"Effects of graded versus ungraded individual readiness assurance scores in team-based learning: a quasi-experimental study.","/pubmed/30725334","Koh YYJ, Rotgans JI, Rajalingam P, Gagnon P, Low-Beer N, Schmidt HG.","Adv Health Sci Educ Theory Pract. 2019 Aug;24(3):477-488. doi: 10.1007/s10459-019-09878-5. Epub 2019 Feb 6.","Adv Health Sci Educ Theory Pract.  2019","PubMed","citation","PMID:30725334","pubmed","30725334","create date:2019/02/07 | first author:Koh YYJ",
"[Decisional conflict among people with diabetes mellitus or hypertension attending primary care].","/pubmed/30725042","Bravo P, Dois A, Hernández MJ, Villarroel L.","Rev Med Chil. 2018 Nov;146(11):1286-1293. doi: 10.4067/S0034-98872018001101286. Spanish. ","Rev Med Chil.  2018","PubMed","citation","PMID:30725042","pubmed","30725042","create date:2019/02/07 | first author:Bravo P",
"Statistics Commentary Series: Commentary No. 31: The Uses and Misuses of the Analysis of Covariance.","/pubmed/30724761","Streiner DL.","J Clin Psychopharmacol. 2019 Mar/Apr;39(2):97-99. doi: 10.1097/JCP.0000000000001009. No abstract available. ","J Clin Psychopharmacol.  2019","PubMed","citation","PMID:30724761","pubmed","30724761","create date:2019/02/07 | first author:Streiner DL",
"Development of a Web-Based Peer Support Program for Family Caregivers of Ventilator-Assisted Individuals Living in the Community: Protocol for a Pilot Randomized Controlled Trial.","/pubmed/30724737","Wasilewski MB, Nonoyama M, Dale C, McKim DA, Road J, Leasa D, Goldstein R, Rose L.","JMIR Res Protoc. 2019 Feb 6;8(2):e11827. doi: 10.2196/11827.","JMIR Res Protoc.  2019","PubMed","citation","PMID:30724737 | PMCID:PMC6386648","pubmed","30724737","create date:2019/02/07 | first author:Wasilewski MB",
"Neuropsychological outcomes after resection of cortical sites with visual naming associated electrocorticographic high-gamma modulation.","/pubmed/30721879","Arya R, Roth C, Leach JL, Middeler D, Wilson JA, Vannest J, Rozhkov L, Greiner HM, Buroker J, Scholle C, Fujiwara H, Horn PS, Rose DF, Crone NE, Mangano FT, Byars AW, Holland KD.","Epilepsy Res. 2019 Mar;151:17-23. doi: 10.1016/j.eplepsyres.2019.01.011. Epub 2019 Jan 29.","Epilepsy Res.  2019","PubMed","citation","PMID:30721879","pubmed","30721879","create date:2019/02/06 | first author:Arya R",
"Hippocampal subfield volumes in major depressive disorder and bipolar disorder.","/pubmed/30721801","Han KM, Kim A, Kang W, Kang Y, Kang J, Won E, Tae WS, Ham BJ.","Eur Psychiatry. 2019 Apr;57:70-77. doi: 10.1016/j.eurpsy.2019.01.016. Epub 2019 Feb 2.","Eur Psychiatry.  2019","PubMed","citation","PMID:30721801","pubmed","30721801","create date:2019/02/06 | first author:Han KM",
"An Evaluation of a Battery of Functional and Structural Tests as Predictors of Likely Risk of Progression of Age-Related Macular Degeneration.","/pubmed/30721275","Robinson DG, Margrain TH, Bailey C, Binns AM.","Invest Ophthalmol Vis Sci. 2019 Feb 1;60(2):580-589. doi: 10.1167/iovs.18-25092.","Invest Ophthalmol Vis Sci.  2019","PubMed","citation","PMID:30721275","pubmed","30721275","create date:2019/02/06 | first author:Robinson DG",
"12-Week aerobic exercise and nutritional program minimized the presence of the 64Arg allele on insulin resistance.","/pubmed/30721144","Milano-Gai GE, Furtado-Alle L, Mota J, Lazarotto L, Milano GE, de Souza Lehtonen RR, Titski ACK, Jesus ÍC, Tureck LV, Radominski RB, Coelho-E-Silva MJ, Leite N.","J Pediatr Endocrinol Metab. 2018 Sep 25;31(9):1033-1042. doi: 10.1515/jpem-2018-0066.","J Pediatr Endocrinol Metab.  2018","PubMed","citation","PMID:30721144","pubmed","30721144","create date:2019/02/06 | first author:Milano-Gai GE",
"Developing Evidence for New Patient Safety Bundles Through Multihospital Collaboration.","/pubmed/30720545","Lyren A, Dawson A, Purcell D, Hoffman JM, Provost L.","J Patient Saf. 2019 Jan 31. doi: 10.1097/PTS.0000000000000564. [Epub ahead of print]","J Patient Saf.  2019","PubMed","citation","PMID:30720545","pubmed","30720545","create date:2019/02/06 | first author:Lyren A",
"SLA-VER: study protocol description and preliminar results of the first italian RCT on conservative treatment of distal radial fractures.","/pubmed/30714999","Maluta T, Cengarle M, Dib G, Bernasconi A, Lavini F, Ricci M, Vecchini E, Samaila EM, Magnan B.","Acta Biomed. 2019 Jan 10;90(1-S):54-60. doi: 10.23750/abm.v90i1-S.8083.","Acta Biomed.  2019","PubMed","citation","PMID:30714999 | PMCID:PMC6503394","pubmed","30714999","create date:2019/02/05 | first author:Maluta T",
"Participation, supports, and barriers of Korean children and youth with and without disabilities in the school environment.","/pubmed/30714425","Jeong Y.","Disabil Rehabil. 2019 Feb 3:1-8. doi: 10.1080/09638288.2019.1567836. [Epub ahead of print]","Disabil Rehabil.  2019","PubMed","citation","PMID:30714425","pubmed","30714425","create date:2019/02/05 | first author:Jeong Y",
"Effectiveness of the ""living successfully with low vision"" self-management program: Results from a randomized controlled trial in Singaporeans with low vision.","/pubmed/30712946","Tey CS, Man REK, Fenwick EK, Aw AT, Drury V, Chiang PP, Lamoureux EL.","Patient Educ Couns. 2019 Jun;102(6):1150-1156. doi: 10.1016/j.pec.2019.01.014. Epub 2019 Jan 21.","Patient Educ Couns.  2019","PubMed","citation","PMID:30712946","pubmed","30712946","create date:2019/02/05 | first author:Tey CS",
"Quality of life in elderly breast cancer patients with localized disease receiving endocrine treatment: a prospective study.","/pubmed/30712234","Arraras JI, Illarramendi JJ, Manterola A, Asin G, Salgado E, Arrondo P, Dominguez MA, Arrazubi V, Martinez E, Viudez A, de la Cruz S, Vera R.","Clin Transl Oncol. 2019 Sep;21(9):1231-1239. doi: 10.1007/s12094-019-02048-4. Epub 2019 Feb 2.","Clin Transl Oncol.  2019","PubMed","citation","PMID:30712234","pubmed","30712234","create date:2019/02/04 | first author:Arraras JI",
"T2 mapping of cartilage and menisci at 3T in healthy subjects with knee malalignment: initial experience.","/pubmed/30712122","Zhu J, Hu N, Liang X, Li X, Guan J, Wang Y, Wang L.","Skeletal Radiol. 2019 May;48(5):753-763. doi: 10.1007/s00256-019-3164-0. Epub 2019 Feb 2.","Skeletal Radiol.  2019","PubMed","citation","PMID:30712122","pubmed","30712122","create date:2019/02/04 | first author:Zhu J",
"Efficacy of 8% arginine on dentin hypersensitivity: A multicenter clinical trial in 273 patients over 24 weeks.","/pubmed/30710652","Hirsiger C, Schmidlin PR, Michaelis M, Hirsch C, Attin T, Heumann C, Doméjean S, Gernhardt CR.","J Dent. 2019 Apr;83:1-6. doi: 10.1016/j.jdent.2019.01.002. Epub 2019 Jan 30.","J Dent.  2019","PubMed","citation","PMID:30710652","pubmed","30710652","create date:2019/02/03 | first author:Hirsiger C",
"Do ACE and CKMM gene variations have potent effects on physical performance in inactive male adolescents?","/pubmed/30710235","Zehsaz F, Safabakhsh AH, Farhangi N, Keynezhad N, Monfaredan A, Ghahramani M.","Mol Biol Rep. 2019 Apr;46(2):1835-1843. doi: 10.1007/s11033-019-04636-7. Epub 2019 Feb 1.","Mol Biol Rep.  2019","PubMed","citation","PMID:30710235","pubmed","30710235","create date:2019/02/03 | first author:Zehsaz F",
"Treatment of HIV among tuberculosis patients: A replication study of timing of antiretroviral therapy for HIV-1-associated tuberculosis.","/pubmed/30707696","Djimeu EW, Heard AC.","PLoS One. 2019 Feb 1;14(2):e0210327. doi: 10.1371/journal.pone.0210327. eCollection 2019.","PLoS One.  2019","PubMed","citation","PMID:30707696 | PMCID:PMC6358155","pubmed","30707696","create date:2019/02/02 | first author:Djimeu EW",
"Social Relations and Health: Comparing ""Invisible"" Arab Americans to Blacks and Whites.","/pubmed/30705780","Ajrouch KJ, Antonucci TC.","Soc Ment Health. 2018 Mar;8(1):84-92. doi: 10.1177/2156869317718234. Epub 2017 Jul 14.","Soc Ment Health.  2018","PubMed","citation","PMID:30705780 | PMCID:PMC6350821","pubmed","30705780","create date:2019/02/02 | first author:Ajrouch KJ",
"Applicability of in vivo staging of regional amyloid burden in a cognitively normal cohort with subjective memory complaints: the INSIGHT-preAD study.","/pubmed/30704537","Sakr FA, Grothe MJ, Cavedo E, Jelistratova I, Habert MO, Dyrba M, Gonzalez-Escamilla G, Bertin H, Locatelli M, Lehericy S, Teipel S, Dubois B, Hampel H; for the INSIGHT-preAD study group.; Alzheimer Precision Medicine Initiative (APMI)..","Alzheimers Res Ther. 2019 Jan 31;11(1):15. doi: 10.1186/s13195-019-0466-3.","Alzheimers Res Ther.  2019","PubMed","citation","PMID:30704537 | PMCID:PMC6357385","pubmed","30704537","create date:2019/02/02 | first author:Sakr FA",
"Smoking status affects bioimpedance-derived phase angle in men but not in women: The Pró-Saúde Study, Brazil.","/pubmed/30703572","Portugal MRC, Brito FB, Curioni CC, Bezerra FF, Faerstein E, Koury JC.","Nutrition. 2019 May;61:70-76. doi: 10.1016/j.nut.2018.10.029. Epub 2018 Oct 27.","Nutrition.  2019","PubMed","citation","PMID:30703572","pubmed","30703572","create date:2019/02/01 | first author:Portugal MRC",
"Depression symptomatology correlates with event-related potentials in Parkinson's disease: An affective priming study.","/pubmed/30699874","Dissanayaka NNW, Au TR, Angwin AJ, Iyer KK, O'Sullivan JD, Byrne GJ, Silburn PA, Marsh R, Mellick GD, Copland DA.","J Affect Disord. 2019 Feb 15;245:897-904. doi: 10.1016/j.jad.2018.11.094. Epub 2018 Nov 13.","J Affect Disord.  2019","PubMed","citation","PMID:30699874","pubmed","30699874","create date:2019/02/01 | first author:Dissanayaka NNW",
"Muscle stretching - the potential role of endogenous pain inhibitory modulation on stretch tolerance.","/pubmed/30699073","Støve MP, Hirata RP, Palsson TS.","Scand J Pain. 2019 Apr 24;19(2):415-422. doi: 10.1515/sjpain-2018-0334.","Scand J Pain.  2019","PubMed","citation","PMID:30699073","pubmed","30699073","create date:2019/01/31 | first author:Støve MP",
"The Correlation between Serum Levels of Anti-Toxoplasma gondii Antibodies and the Risk of Diabetes.","/pubmed/30697319","Khalili M, Mahami-Oskouei M, Shahbazi A, Safaiyan A, Mohammadzadeh-Gheshlaghi N, Mahami-Oskouei L.","Iran J Parasitol. 2018 Oct-Dec;13(4):637-642.","Iran J Parasitol.  2018","PubMed","citation","PMID:30697319 | PMCID:PMC6348218","pubmed","30697319","create date:2019/01/31 | first author:Khalili M",
"Gingival health status in individuals using different types of toothpaste.","/pubmed/30696551","Pedersen AML, Darwish M, Nicholson J, Edwards MI, Gupta AK, Belstrøm D.","J Dent. 2019 Jan;80 Suppl 1:S13-S18. doi: 10.1016/j.jdent.2018.08.008.","J Dent.  2019","PubMed","citation","PMID:30696551","pubmed","30696551","create date:2019/01/31 | first author:Pedersen AML",
"The Effect of an Exercise Intervention During Early Lactation on Bone Mineral Density During the First Year Postpartum.","/pubmed/30696336","Colleran HL, Hiatt A, Wideman L, Lovelady CA.","J Phys Act Health. 2019 Mar 1;16(3):197-204. doi: 10.1123/jpah.2018-0232. Epub 2019 Jan 30.","J Phys Act Health.  2019","PubMed","citation","PMID:30696336","pubmed","30696336","create date:2019/01/31 | first author:Colleran HL",
"Transcutaneous Electrical Nerve Stimulation on Acupuncture Points Improves Myofascial Pain, Moods, and Sleep Quality.","/pubmed/30694996","Chiou YF, Yeh ML, Wang YJ.","Rehabil Nurs. 2019 Jan 25. doi: 10.1097/RNJ.0000000000000198. [Epub ahead of print]","Rehabil Nurs.  2019","PubMed","citation","PMID:30694996","pubmed","30694996","create date:2019/01/30 | first author:Chiou YF",
"Dry needling versus friction massage to treat tension type headache: A randomized clinical trial.","/pubmed/30691768","Kamali F, Mohamadi M, Fakheri L, Mohammadnejad F.","J Bodyw Mov Ther. 2019 Jan;23(1):89-93. doi: 10.1016/j.jbmt.2018.01.009. Epub 2018 Jan 31.","J Bodyw Mov Ther.  2019","PubMed","citation","PMID:30691768","pubmed","30691768","create date:2019/01/30 | first author:Kamali F",
"Effects of neratinib on health-related quality of life in women with HER2-positive early-stage breast cancer: longitudinal analyses from the randomized phase III ExteNET trial.","/pubmed/30689703","Delaloge S, Cella D, Ye Y, Buyse M, Chan A, Barrios CH, Holmes FA, Mansi J, Iwata H, Ejlertsen B, Moy B, Chia SKL, Gnant M, Smichkoska S, Ciceniene A, Martinez N, Filipović S, Ben-Baruch NE, Joy AA, Langkjer ST, Senecal F, de Boer RH, et al.","Ann Oncol. 2019 Apr 1;30(4):567-574. doi: 10.1093/annonc/mdz016.","Ann Oncol.  2019","PubMed","citation","PMID:30689703","pubmed","30689703","create date:2019/01/29 | first author:Delaloge S",
"Liver stiffness regression after successful Hepatitis C treatment is independent of HIV coinfection.","/pubmed/30687989","Malin JJ, Boesecke C, Schwarze-Zander C, Wasmuth JC, Schlabe S, Trebicka J, Spengler U, Llibre JM, Jou T, Vasylyev M, Clotet B, Rockstroh JK.","HIV Med. 2019 Mar;20(3):230-236. doi: 10.1111/hiv.12705. Epub 2019 Jan 27.","HIV Med.  2019","PubMed","citation","PMID:30687989","pubmed","30687989","create date:2019/01/29 | first author:Malin JJ",
"The drought and high wet soil condition impact on PAH (phenanthrene) toxicity towards nitrifying bacteria.","/pubmed/30685715","Suszek-Łopatka B, Maliszewska-Kordybach B, Klimkowicz-Pawlas A, Smreczak B.","J Hazard Mater. 2019 Apr 15;368:274-280. doi: 10.1016/j.jhazmat.2019.01.055. Epub 2019 Jan 21.","J Hazard Mater.  2019","PubMed","citation","PMID:30685715","pubmed","30685715","create date:2019/01/28 | first author:Suszek-Łopatka B",
"Structural characteristics and predicted functional capacities of epaxial muscles in chondrodystrophic and non-chondrodystrophic dogs with and without suspected intervertebral disc herniation- a preliminary study.","/pubmed/30684907","Boström A, Channon S, Jokinen T, Junnila J, Hielm-Björkman A, Laitinen-Vapaavuori O.","Res Vet Sci. 2019 Apr;123:204-215. doi: 10.1016/j.rvsc.2019.01.008. Epub 2019 Jan 8.","Res Vet Sci.  2019","PubMed","citation","PMID:30684907","pubmed","30684907","create date:2019/01/27 | first author:Boström A",
"Randomized Trial of a Tailored Cognitive-Behavioral Therapy Mobile Application for Anxiety in Patients with Incurable Cancer.","/pubmed/30683710","Greer JA, Jacobs J, Pensak N, MacDonald JJ, Fuh CX, Perez GK, Ward A, Tallen C, Muzikansky A, Traeger L, Penedo FJ, El-Jawahri A, Safren SA, Pirl WF, Temel JS.","Oncologist. 2019 Jan 25. pii: theoncologist.2018-0536. doi: 10.1634/theoncologist.2018-0536. [Epub ahead of print]","Oncologist.  2019","PubMed","citation","PMID:30683710","pubmed","30683710","create date:2019/01/27 | first author:Greer JA",
"Effect of complementary foods fortified with Moringa oleifera leaf powder on hemoglobin concentration and growth of infants in the Eastern Region of Ghana.","/pubmed/30680185","Boateng L, Quarpong W, Ohemeng A, Asante M, Steiner-Asiedu M.","Food Sci Nutr. 2018 Nov 20;7(1):302-311. doi: 10.1002/fsn3.890. eCollection 2019 Jan.","Food Sci Nutr.  2019","PubMed","citation","PMID:30680185 | PMCID:PMC6341130","pubmed","30680185","create date:2019/01/27 | first author:Boateng L",
"Individuals at high risk for psychosis experience more childhood trauma, life events and social support deficit in comparison to healthy controls.","/pubmed/30677717","Huang ZH, Hou CL, Huang YH, He XY, Wang QW, Chen X, Wang ZL, Wang SB, Jia FJ.","Psychiatry Res. 2019 Mar;273:296-302. doi: 10.1016/j.psychres.2019.01.060. Epub 2019 Jan 15.","Psychiatry Res.  2019","PubMed","citation","PMID:30677717","pubmed","30677717","create date:2019/01/25 | first author:Huang ZH",
"Theory-based diabetes self-management education with pre-selection of participants: a randomized controlled trial with 2.5 years' follow-up (ELDES Study).","/pubmed/30677175","Vos RC, van Heusden L, Eikelenboom NWD, Rutten GEHM.","Diabet Med. 2019 Jul;36(7):827-835. doi: 10.1111/dme.13907. Epub 2019 Feb 15.","Diabet Med.  2019","PubMed","citation","PMID:30677175 | PMCID:PMC6618028","pubmed","30677175","create date:2019/01/25 | first author:Vos RC",
"BST1 rs4698412 allelic variant increases the risk of gait or balance deficits in patients with Parkinson's disease.","/pubmed/30676692","Shen YT, Wang JW, Wang M, Zhi Y, Li JY, Yuan YS, Wang XX, Zhang H, Zhang KZ.","CNS Neurosci Ther. 2019 Apr;25(4):422-429. doi: 10.1111/cns.13099. Epub 2019 Jan 24.","CNS Neurosci Ther.  2019","PubMed","citation","PMID:30676692 | PMCID:PMC6488919","pubmed","30676692","create date:2019/01/25 | first author:Shen YT",
"Effect of acupressure on constipation in patients with advanced cancer.","/pubmed/30675666","Wang PM, Hsu CW, Liu CT, Lai TY, Tzeng FL, Huang CF.","Support Care Cancer. 2019 Sep;27(9):3473-3478. doi: 10.1007/s00520-019-4655-1. Epub 2019 Jan 24.","Support Care Cancer.  2019","PubMed","citation","PMID:30675666","pubmed","30675666","create date:2019/01/25 | first author:Wang PM",
"Telephone-based motivational interviewing versus usual care in primary care to increase physical activity: a randomized pilot study.","/pubmed/30675373","Young DR, Nguyen MK, Yamamoto A, Pomichowski M, Cornejo M, Paz S, Coleman KJ, Sallis RE, Fortmann SP.","Pilot Feasibility Stud. 2019 Jan 15;5:6. doi: 10.1186/s40814-019-0390-0. eCollection 2019.","Pilot Feasibility Stud.  2019","PubMed","citation","PMID:30675373 | PMCID:PMC6332699","pubmed","30675373","create date:2019/01/25 | first author:Young DR",
"The Effectiveness of Spiritual Therapy on Spiritual Well-Being, Self-Esteem and Self-Efficacy in Patients on Hemodialysis.","/pubmed/30673996","Darvishi A, Otaghi M, Mami S.","J Relig Health. 2019 Jan 23. doi: 10.1007/s10943-018-00750-1. [Epub ahead of print]","J Relig Health.  2019","PubMed","citation","PMID:30673996","pubmed","30673996","create date:2019/01/24 | first author:Darvishi A",
"Impact of food allergy on food insecurity and health literacy in a tertiary care pediatric allergy population.","/pubmed/30672621","Dilley MA, Rettiganti M, Christie L, O'Brien E, Patterson M, Weeks C, Aronson J, Scurlock AM, Perry TT, Pesek RD, Bell MC, Kennedy JL, Chandler P, Magee J, Simmons L, Chervinskiy SK, Casey P, Jones SM.","Pediatr Allergy Immunol. 2019 May;30(3):363-369. doi: 10.1111/pai.13019. Epub 2019 Mar 1.","Pediatr Allergy Immunol.  2019","PubMed","citation","PMID:30672621","pubmed","30672621","create date:2019/01/24 | first author:Dilley MA",
"Impairment of cognitive function in ornithine transcarbamylase deficiency is global rather than domain-specific and is associated with disease onset, sex, maximum ammonium, and number of hyperammonemic events.","/pubmed/30671983","Buerger C, Garbade SF, Dietrich Alber F, Waisbren SE, McCarter R, Kölker S, Burgard P; Urea Cycle Disorders Consortium..","J Inherit Metab Dis. 2019 Mar;42(2):243-253. doi: 10.1002/jimd.12013. Epub 2019 Jan 22.","J Inherit Metab Dis.  2019","PubMed","citation","PMID:30671983","pubmed","30671983","create date:2019/01/24 | first author:Buerger C",
"Brain activity in patients with deficiency versus excess patterns of major depression: A task fMRI study.","/pubmed/30670257","Wang YZ, Han Y, Zhao JJ, Du Y, Zhou Y, Liu Y, Zhang YF, Li L.","Complement Ther Med. 2019 Feb;42:292-297. doi: 10.1016/j.ctim.2018.12.006. Epub 2018 Dec 11.","Complement Ther Med.  2019","PubMed","citation","PMID:30670257","pubmed","30670257","create date:2019/01/24 | first author:Wang YZ",
"Classifying cognitive impairment based on the spatial heterogeneity of cerebral blood flow images.","/pubmed/30666734","Shirzadi Z, Stefanovic B, Mutsaerts HJMM, Masellis M, MacIntosh BJ; Alzheimer's Disease Neuroimaging Initiative..","J Magn Reson Imaging. 2019 Sep;50(3):858-867. doi: 10.1002/jmri.26650. Epub 2019 Jan 21.","J Magn Reson Imaging.  2019","PubMed","citation","PMID:30666734","pubmed","30666734","create date:2019/01/23 | first author:Shirzadi Z",
"Sex differences in interleukin-6 stress responses in people with Type 2 diabetes.","/pubmed/30666661","Panagi L, Poole L, Hackett RA, Steptoe A.","Psychophysiology. 2019 Jun;56(6):e13334. doi: 10.1111/psyp.13334. Epub 2019 Jan 22.","Psychophysiology.  2019","PubMed","citation","PMID:30666661 | PMCID:PMC6563423","pubmed","30666661","create date:2019/01/23 | first author:Panagi L",
"Deletion Polymorphism of Angiotensin-Converting Enzyme Gene Is Associated with Low Muscle Mass in Elderly People in Jakarta, Indonesia.","/pubmed/30666042","Handayani MDN, Sadewa AH, Farmawati A, Rochmah W.","Kobe J Med Sci. 2018 Nov 12;64(3):E119-E125.","Kobe J Med Sci.  2018","PubMed","citation","PMID:30666042 | PMCID:PMC6347048","pubmed","30666042","create date:2019/01/23 | first author:Handayani MDN",
"Mid-term impact of home-based follow-up care on health-related quality of life of hypertensive patients at a teaching hospital in Ilorin, Nigeria.","/pubmed/30666023","Bolarinwa OA, Juni MH, Nor Afiah MZ, Salmiah MS, Akande TM.","Niger J Clin Pract. 2019 Jan;22(1):69-78. doi: 10.4103/njcp.njcp_246_17.","Niger J Clin Pract.  2019","PubMed","citation","PMID:30666023","pubmed","30666023","create date:2019/01/23 | first author:Bolarinwa OA",
"High-sensitivity troponin T in marathon runners, marathon runners with heart disease and collapsed marathon runners.","/pubmed/30664255","Leckie T, Richardson A, Watkins E, Fitzpatrick D, Galloway R, Grimaldi R, Roberts A, Baker P.","Scand J Med Sci Sports. 2019 May;29(5):663-668. doi: 10.1111/sms.13392. Epub 2019 Feb 17.","Scand J Med Sci Sports.  2019","PubMed","citation","PMID:30664255","pubmed","30664255","create date:2019/01/22 | first author:Leckie T",
"Randomised clinical trial: pregabalin vs placebo for irritable bowel syndrome.","/pubmed/30663077","Saito YA, Almazar AE, Tilkes KE, Choung RS, Van Norstrand MD, Schleck CD, Zinsmeister AR, Talley NJ.","Aliment Pharmacol Ther. 2019 Feb;49(4):389-397. doi: 10.1111/apt.15077. Epub 2019 Jan 20.","Aliment Pharmacol Ther.  2019","PubMed","citation","PMID:30663077 | PMCID:PMC6349499","pubmed","30663077","create date:2019/01/22 | first author:Saito YA",
"Influence of oral magnesium-containing supplement and antacid administration on hypomagnesemia induced by panitumumab.","/pubmed/30661095","Sato J, Ishikawa H, Tanaka R, Sino M.","Cancer Chemother Pharmacol. 2019 Apr;83(4):673-679. doi: 10.1007/s00280-019-03772-y. Epub 2019 Jan 19.","Cancer Chemother Pharmacol.  2019","PubMed","citation","PMID:30661095","pubmed","30661095","create date:2019/01/21 | first author:Sato J",
